Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Footprint,LCSC Part Number,Assembly
"SW1,SW2",2,Omron,B3U-1000P,momentary tactile switch,SMD,C231329,JLCPCB Standard PCBA
U4,1,Sensirion,SHT45-AD1B-R2,temperature and humidity sensor,DFN-4 1.5x1.5 mm,C5221601,JLCPCB Standard PCBA
"R7,R8",2,Yageo,RC0603FR-074K7L,4.7 kohm 1%,0603,C99782,JLCPCB Standard PCBA
U5,1,Microchip,MCP4725A0T-E/CH,12-bit I2C DAC,SOT-23-6,C144198,JLCPCB Standard PCBA
U6,1,Texas Instruments,OPA197IDBVR,36 V precision rail-to-rail op amp,SOT-23-5,C221351,JLCPCB Standard PCBA
R9,1,TyoHM,RMC060321K1%N,21 kohm 1%; calibrated gain headroom,0603,C269418,JLCPCB Standard PCBA
R10,1,Yageo,RT0603BRD0710KL,10 kohm 0.1% thin film,0603,C95204,JLCPCB Standard PCBA
R11,1,Yageo,RC0603FR-07220RL,220 ohm 1%,0603,C107696,JLCPCB Standard PCBA
U7,1,Chipanalog,CA-IS3092W,isolated 500 kbps RS-485 with integrated isolated power,SOIC-16W,C2890051,JLCPCB Standard PCBA
"C14,C17",2,Samsung Electro-Mechanics,CL21B104KBCNNNC,100 nF 50 V X7R,0805,C49678,JLCPCB Standard PCBA
R12,1,Yageo,RC1206FR-07120RL,120 ohm 1% RS-485 termination,1206,C114928,JLCPCB Standard PCBA
J4,1,JST,SM08B-SRSS-TB(LF)(SN),8-way 1 mm expansion connector,SMD right angle,C160407,JLCPCB Standard PCBA
LED1,1,MEIHUA,MHT192CGCT,green status LED,0603,C389518,JLCPCB Standard PCBA
R13,1,Yageo,RC0603FR-071KL,1 kohm 1%,0603,C21190,JLCPCB Standard PCBA
SW3,1,BIWIN,SOP01,user-accessible RS-485 termination switch,SMD DIP SPST,C3294660,JLCPCB Standard PCBA
"J5,J6,J7",3,MAX,MX205R-5.0-03P-GN01-Cu-A,3-way push-in spring terminal,THT P5.00mm 1x03,C7471335,JLCPCB Standard PCBA
J8,1,MAX,MX205R-5.0-02P-GN01-Cu-A,2-way push-in spring terminal,THT P5.00mm 1x02,C7471334,JLCPCB Standard PCBA
R14,1,UNI-ROYAL,0603WAF1000T5E,100 ohm 1% 1-Wire series resistor,0603,C22775,JLCPCB Standard PCBA
R15,1,Yageo,RC0603FR-074K7L,4.7 kohm 1% 1-Wire pull-up,0603,C99782,JLCPCB Standard PCBA
"TVS2,TVS3,TVS4",3,TECH PUBLIC,PCESD3V3D3,3.3 V field-interface ESD protection,SOD-323,C2928727,JLCPCB Standard PCBA
"R16,R17,R22,R25",4,UNI-ROYAL,0603WAF1001T5E,1 kohm 1%,0603,C21190,JLCPCB Standard PCBA
"R18,R19,R21,R23",4,UNI-ROYAL,0603WAF1002T5E,10 kohm 1%,0603,C25804,JLCPCB Standard PCBA
"C19,C20,C21",3,Murata,GRM188R71H104KA93D,100 nF 50 V X7R,0603,C77055,JLCPCB Standard PCBA
TVS5,1,ElecSuper,PESD12VL1BA-ES,12 V bidirectional 0-10 V input protection,SOD-323,C5180221,JLCPCB Standard PCBA
R20,1,UNI-ROYAL,0603WAF3302T5E,33 kohm 1% 0-10 V divider,0603,C4216,JLCPCB Standard PCBA
D4,1,IDCHIP,BAT54S,dual Schottky ADC rail clamp,SOT-23,C2848194,JLCPCB Standard PCBA
SW4,1,Omron,B3U-1000P,service and identify button,SMD,C231329,JLCPCB Standard PCBA
R24,1,UNI-ROYAL,0603WAF1202T5E,12 kohm 1% 24 V LED resistor,0603,C22790,JLCPCB Standard PCBA
"LED2,LED3",2,MEIHUA,MHT192CGCT,green diagnostic LED,0603,C389518,JLCPCB Standard PCBA
