Designator,Quantity,Manufacturer,Manufacturer Part Number,Description,Footprint,LCSC Part Number,Assembly
"SW1,SW2",2,Omron,B3U-1000P,momentary tactile switch,SMD,C231329,JLCPCB Standard PCBA
U4,1,Sensirion,SHT45-AD1B-R2,temperature and humidity sensor,DFN-4 1.5x1.5 mm,C5221601,JLCPCB Standard PCBA
"R7,R8",2,Yageo,RC0603FR-074K7L,4.7 kohm 1%,0603,C99782,JLCPCB Standard PCBA
U5,1,Microchip,MCP4725A0T-E/CH,12-bit I2C DAC,SOT-23-6,C144198,JLCPCB Standard PCBA
U6,1,Texas Instruments,OPA197IDBVR,36 V precision rail-to-rail op amp,SOT-23-5,C221351,JLCPCB Standard PCBA
R9,1,TA-I Tech,RMS06FT2102,21 kohm 1%; calibrated gain headroom,0603,C209071,JLCPCB Standard PCBA
R10,1,Yageo,RT0603BRD0710KL,10 kohm 0.1% thin film,0603,C95204,JLCPCB Standard PCBA
R11,1,Yageo,RC0603FR-07220RL,220 ohm 1%,0603,C107696,JLCPCB Standard PCBA
U7,1,Chipanalog,CA-IS3092W,isolated 500 kbps RS-485 with integrated isolated power,SOIC-16W,C2890051,JLCPCB Standard PCBA
"C14,C17",2,Walsin,0805B104K500CT,100 nF 50 V X7R 10%,0805,C83055,JLCPCB Standard PCBA
R12,1,Yageo,RC1206FR-07120RL,120 ohm 1% RS-485 termination,1206,C114928,JLCPCB Standard PCBA
J4,1,JST,SM08B-SRSS-TB(LF)(SN),8-way 1 mm expansion connector,SMD right angle,C160407,JLCPCB Standard PCBA
LED1,1,MEIHUA,MHT192CGCT,green status LED,0603,C389518,JLCPCB Standard PCBA
SW3,1,BIWIN,SOP01,user-accessible RS-485 termination switch,SMD DIP SPST,C3294660,JLCPCB Standard PCBA
"J5,J6,J7",3,MAX,MX126-5.0-03P-GN01-Cu-S-A,3-way screw terminal,THT P5.00mm 1x03,C5188435,JLCPCB Standard PCBA
J8,1,MAX,MX205R-5.0-02P-GN01-Cu-A,2-way push-in spring terminal,THT P5.00mm 1x02,C7471334,JLCPCB Standard PCBA
R14,1,UNI-ROYAL,0603WAF1000T5E,100 ohm 1% 1-Wire series resistor,0603,C22775,JLCPCB Standard PCBA
R15,1,Yageo,RC0603FR-074K7L,4.7 kohm 1% 1-Wire pull-up,0603,C99782,JLCPCB Standard PCBA
"TVS2,TVS3,TVS4",3,TECH PUBLIC,PCESD3V3D3,3.3 V field-interface ESD protection,SOD-323,C2928727,JLCPCB Standard PCBA
"R18,R19,R21,R23",4,UNI-ROYAL,0603WAF1002T5E,10 kohm 1%,0603,C25804,JLCPCB Standard PCBA
"C19,C20,C21",3,Murata,GRM188R71H104KA93D,100 nF 50 V X7R,0603,C77055,JLCPCB Standard PCBA
TVS5,1,UMW,PESD12VL1BA,12 V bidirectional 0-10 V input protection,SOD-323,C2687119,JLCPCB Standard PCBA
R20,1,UNI-ROYAL,0603WAF3302T5E,33 kohm 1% 0-10 V divider,0603,C4216,JLCPCB Standard PCBA
D4,1,IDCHIP,BAT54S,dual Schottky ADC rail clamp,SOT-23,C2848194,JLCPCB Standard PCBA
SW4,1,Omron,B3U-1000P,service and identify button,SMD,C231329,JLCPCB Standard PCBA
R24,1,UNI-ROYAL,0603WAF1802T5E,18 kohm 1% switchable VIN LED resistor,0603,C25810,JLCPCB Standard PCBA
"LED2,LED3",2,MEIHUA,MHT192CGCT,green diagnostic LED,0603,C389518,JLCPCB Standard PCBA
U8,1,Sensirion,SCD41-D-R1,photoacoustic CO2 sensor,SCD4x 10.1x10.1 mm,C3659362,JLCPCB Standard PCBA
U9,1,Sensirion,SGP41-D-R4,VOC and NOx index sensor,DFN-6 2.4x2.4 mm,C3659325,JLCPCB Standard PCBA
U10,1,Bosch Sensortec,BMP390,barometric pressure sensor,LGA-10 2x2 mm,C5124834,JLCPCB Standard PCBA
U11,1,TECH PUBLIC,AP2112K-3.3TRG1,dedicated 3.3 V 600 mA AIR LDO,SOT-23-5,C23380830,JLCPCB Standard PCBA
"C22,C26,C27",3,Walsin,0805B104K500CT,100 nF 50 V X7R 10%,0805,C83055,JLCPCB Standard PCBA
C23,1,CCTC,TCC0805X7R475K100FTM,4.7 uF 10 V X7R,0805,C51912533,JLCPCB Standard PCBA
"C24,C25",2,Samsung Electro-Mechanics,CL21B105KBFNNNE,1 uF 50 V X7R,0805,C28323,JLCPCB Standard PCBA
C28,1,Murata,GRM21BR71A106KE51L,10 uF 10 V X7R,0805,C86038,JLCPCB Standard PCBA
C29,1,TDK,C2012X5R1A226MT0J0E,22 uF 10 V X5R,0805,C361180,JLCPCB Standard PCBA
R26,1,Yageo,RC0603FR-0710RL,10 ohm 1% SGP41 VDD filter,0603,C109318,JLCPCB Standard PCBA
C30,1,Panasonic,EEEHB1A221AP,220 uF 10 V USB peak-current reservoir,SMD D8x10.2 mm,C401791,JLCPCB Standard PCBA
"Q1,Q2",2,Yangzhou Yangjie Electronic Technology,2N7002,60 V N-channel MOSFET for LED and relay switching,SOT-23,C8545,JLCPCB Standard PCBA
"R27,R29",2,UNI-ROYAL,0603WAF1003T5E,100 kohm gate pull-down,0603,C25803,JLCPCB Standard PCBA
R28,1,UNI-ROYAL,0603WAF1000T5E,100 ohm relay gate resistor,0603,C22775,JLCPCB Standard PCBA
D5,1,Jiangsu Changjing Electronics Technology,1N4148WS,100 V relay-coil flyback diode,SOD-323,C2128,JLCPCB Standard PCBA
K1,1,Hongfa,HFD4/5,5 V DPDT potential-free signal relay; one changeover contact used,DIP 10x6.5 mm,C23510,JLCPCB Standard PCBA
J9,1,MAX,MX126-5.0-03P-GN01-Cu-S-A,COM/NO/NC screw terminal,THT P5.00mm 1x03,C5188435,JLCPCB Standard PCBA
"R13,R16,R17,R22,R25",5,UNI-ROYAL,0603WAF1001T5E,1 kohm 1%,0603,C21190,JLCPCB Standard PCBA
